NEEDS ID,PG,OLD CODE,SPECIES,REGION,PLANT,NEW CODE,PREV,COUNT,WEIGHT,W/G INDEX,WHG,ID,DATE
,,N/A,Chum,PW Sound,#VALUE!,PWS-J-C-8T,NP,0,482.3,0,0,AG,17-Apr-25
,,N/A,Chum,PW Sound,#VALUE!,PWS-J-C-7T,P,7,494.4,0.01415857605,1.415857605,AG,16-Apr-25
,,N/A,Chum,PW Sound,#VALUE!,PWS-J-C-6T,P,4,485.7,0.008235536339,0.8235536339,AG,14-Apr-25
,,N/A,Chum,PW Sound,#VALUE!,PWS-J-C-5T,P,3,482.5,0.00621761658,0.621761658,AG,13-Apr-25
,,N/A,Chum,PW Sound,#VALUE!,PWS-J-C-4T,P,5,491.7,0.01016880212,1.016880212,AG,4/9/2025
,,N/A,Chum,PW Sound,#VALUE!,PWS-J-C-3T,P,7,486,0.01440329218,1.440329218,AG,3-Apr-25
,6,N/A,Chum,PW Sound,#VALUE!,PWS-J-C-1T,NP,0,475,0,0,AG,6-Mar
,14,N/A,Chum,PW Sound,#VALUE!,PWS-J-C-2T,P,7,491.5,0.01424211597,1.424211597,KO,6-Mar
,18,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-1,NP,0,277,0,0,AG,25-Feb
,6,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-10,NP,0,264.5,0,0,AG,6-Mar
,1,P-OBI-K-11,Pink,Kodiak,#VALUE!,KOD-W-P-11,NP,0,272.5,0,0,AG,11-Feb
,1,P-OBI-K-12,Pink,Kodiak,#VALUE!,KOD-W-P-12,P,2,247.5,0.008080808081,0.8080808081,AG,11-Feb
,18,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-2,P,7,265,0.02641509434,2.641509434,AG,25-Feb
,11,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-7,P,1,269.5,0.003710575139,0.3710575139,KO,7-Mar
,14,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-4,NP,0,272,0,0,KO,6-Mar
,7,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-5,P,1,267,0.003745318352,0.3745318352,KO,13-Mar
,14,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-3,NP,0,272,0,0,KO,6-Mar
,7,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-6,P,3,281.5,0.01065719361,1.065719361,KO,13-Mar
,6,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-8,NP,0,273,0,0,AG,7-Mar
,6,N/A,Pink,Kodiak,#VALUE!,KOD-W-P-9,NP,0,277,0,0,AG,6-Mar
,19,P-AGSK-1,Pink,Southeast AK,#VALUE!,SEA-B-P-1,P,4,244,0.01639344262,1.639344262,AG,N/A
,2,P-AGSK-2,Pink,Southeast AK,#VALUE!,SEA-B-P-10,P,1,259.5,0.003853564547,0.3853564547,KO,N/A
,17,P-AGSK-11,Pink,Southeast AK,#VALUE!,SEA-B-P-11,P,1,241.5,0.004140786749,0.4140786749,AG,N/A
,2,P-AGSK-12,Pink,Southeast AK,#VALUE!,SEA-B-P-12,NP,0,238,0,0,KO,N/A
,19,P-AGSK-2,Pink,Southeast AK,#VALUE!,SEA-B-P-2,NP,0,244,0,0,AG,N/A
,19,P-AGSK-3,Pink,Southeast AK,#VALUE!,SEA-B-P-3,NP,0,246,0,0,AG,N/A
